num_jobs,instance_id,solver,solver_key,total_profit,profit_ratio,completion_rate,utilization,makespan,num_scheduled
50,12,RL Agent (DQN),rl_agent,203.51,0.1111390234445397,0.1,1.0,12,5
50,13,Greedy-by-Profit,greedy_profit,191.95999999999998,0.10660061974521584,0.04,1.0,14,2
50,13,Earliest Deadline First,edf,214.93,0.11935648677765807,0.18,1.0,13,9
50,13,Shortest Job First,sjf,292.69000000000005,0.162538734075991,0.2,1.0,13,10
50,13,Profit Density,profit_density,325.54999999999995,0.18078678765396444,0.18,1.0,13,9
50,13,RL Agent (DQN),rl_agent,300.08,0.16664260248564478,0.16,1.0,12,8
50,14,Greedy-by-Profit,greedy_profit,194.78,0.08992280986851826,0.04,1.0,17,2
50,14,Earliest Deadline First,edf,246.84,0.11395700989806473,0.22,1.0,13,11
50,14,Shortest Job First,sjf,233.32,0.10771531984044913,0.22,1.0,15,11
50,14,Profit Density,profit_density,297.48,0.13733564780617524,0.22,1.0,13,11
50,14,RL Agent (DQN),rl_agent,217.05,0.10020405525188361,0.12,1.0,13,6
50,15,Greedy-by-Profit,greedy_profit,157.54,0.06998045486851458,0.04,1.0,15,2
50,15,Earliest Deadline First,edf,257.61,0.11443230277185502,0.18,1.0,12,9
50,15,Shortest Job First,sjf,268.84,0.11942075337597725,0.22,1.0,13,11
50,15,Profit Density,profit_density,329.82000000000005,0.14650852878464823,0.22,1.0,16,11
50,15,RL Agent (DQN),rl_agent,214.1,0.0951048329779673,0.1,1.0,14,5
50,16,Greedy-by-Profit,greedy_profit,184.95,0.08533856269465913,0.04,1.0,19,2
50,16,Earliest Deadline First,edf,278.29999999999995,0.12841158149728918,0.2,1.0,12,10
50,16,Shortest Job First,sjf,278.84,0.12866074518398893,0.2,1.0,16,10
50,16,Profit Density,profit_density,319.53999999999996,0.14744030453339485,0.16,1.0,15,8
50,16,RL Agent (DQN),rl_agent,266.35999999999996,0.12290229553581726,0.1,1.0,16,5
50,17,Greedy-by-Profit,greedy_profit,191.02,0.07910549746350551,0.04,1.0,15,2
50,17,Earliest Deadline First,edf,182.45999999999998,0.07556061704110152,0.18,1.0,12,9
50,17,Shortest Job First,sjf,211.24999999999997,0.0874831763122476,0.18,1.0,14,9
50,17,Profit Density,profit_density,300.44,0.12441867688166472,0.14,1.0,17,7
50,17,RL Agent (DQN),rl_agent,173.76,0.07195775960244329,0.04,1.0,14,2
50,18,Greedy-by-Profit,greedy_profit,182.08999999999997,0.0915416132518915,0.04,1.0,16,2
50,18,Earliest Deadline First,edf,231.99000000000004,0.11662770530125936,0.22,1.0,12,11
50,18,Shortest Job First,sjf,251.43,0.12640072392730564,0.22,1.0,13,11
50,18,Profit Density,profit_density,355.97,0.17895583540708346,0.2,1.0,15,10
50,18,RL Agent (DQN),rl_agent,217.38,0.10928285951285725,0.12,1.0,13,6
50,19,Greedy-by-Profit,greedy_profit,273.94,0.13330543362952435,0.06,1.0,19,3
50,19,Earliest Deadline First,edf,178.01999999999995,0.0866285803268158,0.2,1.0,12,10
50,19,Shortest Job First,sjf,223.29999999999995,0.10866285803268154,0.2,1.0,12,10
50,19,Profit Density,profit_density,313.24,0.15242970734508363,0.12,1.0,13,6
50,19,RL Agent (DQN),rl_agent,169.82,0.08263827385181362,0.08,1.0,12,4
50,20,Greedy-by-Profit,greedy_profit,190.57999999999998,0.0857352365614133,0.04,1.0,15,2
50,20,Earliest Deadline First,edf,191.82000000000002,0.08629306893278571,0.18,1.0,12,9
50,20,Shortest Job First,sjf,186.64000000000001,0.08396276918785905,0.18,1.0,12,9
50,20,Profit Density,profit_density,279.91,0.12592166054100745,0.16,1.0,12,8
50,20,RL Agent (DQN),rl_agent,224.2,0.10085969166265538,0.12,1.0,12,6
50,21,Greedy-by-Profit,greedy_profit,184.26999999999998,0.08662031748717874,0.04,1.0,14,2
50,21,Earliest Deadline First,edf,200.82,0.09440002256349507,0.2,1.0,12,10
50,21,Shortest Job First,sjf,237.39,0.1115905853816756,0.22,1.0,14,11
50,21,Profit Density,profit_density,273.1,0.12837688557957627,0.14,1.0,11,7
50,21,RL Agent (DQN),rl_agent,215.17,0.10114556744839773,0.1,1.0,12,5
50,22,Greedy-by-Profit,greedy_profit,173.95999999999998,0.09315875438455563,0.04,1.0,17,2
50,22,Earliest Deadline First,edf,195.04999999999998,0.10445283423032638,0.22,1.0,12,11
50,22,Shortest Job First,sjf,218.39000000000001,0.11695183013361181,0.22,1.0,13,11
50,22,Profit Density,profit_density,344.56000000000006,0.1845181674565561,0.18,1.0,16,9
50,22,RL Agent (DQN),rl_agent,230.90000000000003,0.12365116341339331,0.12,1.0,13,6
50,23,Greedy-by-Profit,greedy_profit,190.33,0.08554003523532162,0.04,1.0,19,2
50,23,Earliest Deadline First,edf,281.31,0.12642918778988244,0.2,1.0,12,10
50,23,Shortest Job First,sjf,278.23,0.12504494301226046,0.2,1.0,13,10
50,23,Profit Density,profit_density,347.90999999999997,0.15636123395534463,0.18,1.0,14,9
50,23,RL Agent (DQN),rl_agent,321.27,0.14438841548915973,0.18,1.0,15,9
50,24,Greedy-by-Profit,greedy_profit,161.98000000000002,0.06900753212228623,0.04,1.0,16,2
50,24,Earliest Deadline First,edf,253.29999999999998,0.1079121366006612,0.2,1.0,12,10
50,24,Shortest Job First,sjf,253.26000000000002,0.10789509560001365,0.2,1.0,12,10
50,24,Profit Density,profit_density,303.25,0.12919208615929928,0.18,1.0,13,9
50,24,RL Agent (DQN),rl_agent,182.98000000000002,0.0779540574622542,0.04,1.0,15,2
50,25,Greedy-by-Profit,greedy_profit,187.48,0.10028188903093291,0.04,1.0,19,2
50,25,Earliest Deadline First,edf,253.37000000000003,0.13552604130449902,0.2,1.0,14,10
50,25,Shortest Job First,sjf,267.64,0.1431589757853578,0.22,1.0,14,11
50,25,Profit Density,profit_density,278.43,0.14893047985322516,0.16,1.0,13,8
50,25,RL Agent (DQN),rl_agent,126.22999999999999,0.06751964397468882,0.04,1.0,12,2
50,26,Greedy-by-Profit,greedy_profit,247.13000000000002,0.1157300739908214,0.06,1.0,16,3
50,26,Earliest Deadline First,edf,272.53,0.12762480097405637,0.2,1.0,16,10
50,26,Shortest Job First,sjf,294.15999999999997,0.137754050763323,0.22,1.0,16,11
50,26,Profit Density,profit_density,312.51,0.14634728856420343,0.18,1.0,12,9
50,26,RL Agent (DQN),rl_agent,290.18,0.13589023133839093,0.14,1.0,15,7
50,27,Greedy-by-Profit,greedy_profit,149.59,0.07133217935329433,0.04,1.0,15,2
50,27,Earliest Deadline First,edf,254.38,0.12130142244729603,0.22,1.0,12,11
50,27,Shortest Job First,sjf,239.62000000000003,0.11426309791186838,0.22,1.0,12,11
50,27,Profit Density,profit_density,315.90000000000003,0.15063731170336042,0.2,1.0,13,10
50,27,RL Agent (DQN),rl_agent,179.51,0.08559956892646478,0.12,1.0,12,6
50,28,Greedy-by-Profit,greedy_profit,194.23000000000002,0.11167393029219322,0.04,1.0,16,2
50,28,Earliest Deadline First,edf,220.37,0.12670331060336001,0.22,1.0,12,11
50,28,Shortest Job First,sjf,160.84000000000003,0.09247611052976552,0.2,1.0,12,10
50,28,Profit Density,profit_density,309.24,0.17779975391833305,0.18,1.0,15,9
50,28,RL Agent (DQN),rl_agent,170.24,0.09788070788726239,0.06,1.0,14,3
50,29,Greedy-by-Profit,greedy_profit,185.95,0.09339293337686147,0.04,1.0,13,2
50,29,Earliest Deadline First,edf,212.89000000000001,0.10692348258456597,0.18,1.0,12,9
50,29,Shortest Job First,sjf,242.85999999999996,0.12197584189246881,0.22,1.0,12,11
50,29,Profit Density,profit_density,352.0,0.17679114035308008,0.2,1.0,16,10
50,29,RL Agent (DQN),rl_agent,220.41000000000003,0.11070038421938178,0.1,1.0,12,5
100,0,Greedy-by-Profit,greedy_profit,296.51,0.07507817742160101,0.04,1.0,28,4
100,0,Earliest Deadline First,edf,510.32000000000005,0.1292162001341993,0.22,1.0,25,22
100,0,Shortest Job First,sjf,468.99,0.11875118690417409,0.21,1.0,28,21
100,0,Profit Density,profit_density,648.29,0.16415106283312442,0.19,1.0,28,19
100,0,RL Agent (DQN),rl_agent,612.52,0.15509387620747717,0.17,1.0,29,17
100,1,Greedy-by-Profit,greedy_profit,370.79999999999995,0.08812624774218084,0.04,1.0,28,4
100,1,Earliest Deadline First,edf,482.31000000000006,0.11462829166270563,0.2,1.0,25,20
100,1,Shortest Job First,sjf,424.90999999999997,0.10098631048578766,0.21,1.0,25,21
100,1,Profit Density,profit_density,659.45,0.15672830116931274,0.19,1.0,29,19
100,1,RL Agent (DQN),rl_agent,566.97,0.13474902557277313,0.14,1.0,29,14
100,2,Greedy-by-Profit,greedy_profit,322.96,0.08411314749751926,0.04,1.0,27,4
100,2,Earliest Deadline First,edf,434.53,0.11317093752197499,0.2,1.0,25,20
